MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
303686010	271	J6900	J690000	Congenital coeliac disease	197478000	303686010	NA	32
303687018	1546	J6901	J690100	Acquired coeliac disease	197479008	303687018	NA	32
303690012	10941	J690z	J690z00	Coeliac disease NOS	396331005	1772803017	NA	32
461329012	5118	ZV7y7	ZV7y700	[V]Investigation for coeliac disease	171397002	265582014	NA	1
1772803017	663043	J690	J690.00	Coeliac disease	396331005	1772803017	NA	32
131661000006114	87	J690-4	J690.14	Sprue - nontropical	396331005	1772803017	NA	32
1119251000000112	2864	68W4	68W4.00	Coeliac disease autoantibody profile positive	443718009	2839516019	NA	1
3230071000006112	1	^ESCTIN323007	NA	Infant coeliac disease	45259000	494142012	NA	32
3992891000006113	149	^ESCTAD399289	NA	Adult form of coeliac disease	91867008	509751016	NA	31
6567671000006110	11	^ESCTCE656767	NA	Celiac disease	396331005	1774089018	NA	32
6567681000006113	30	^ESCTCD656768	NA	CD - Coeliac disease	396331005	1783556014	NA	32
6567721000006118	6	^ESCTCO656772	NA	Coeliac syndrome	396331005	1783560012	NA	32
6567731000006115	1	^ESCTCD656773	NA	CD - Celiac disease	396331005	1783948015	NA	32
