MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
36888019	54292	C052-2	C052.12	Hashimoto's disease	21983002	36888019	NA	32
68268011	4318838	C04-3	C04..13	Hypothyroidism	40930008	68268011	NA	32
178809013	3158784	C04	C04..00	Acquired hypothyroidism	111566002	178809013	NA	32
251589012	102647	1432	1432.00	H/O: hypothyroidism	161443002	251589012	NA	32
292408011	636506	C04y	C04y.00	Other acquired hypothyroidism	111566002	178809013	NA	32
398784019	560364	C04z	C04z.00	Hypothyroidism NOS	40930008	68268011	NA	32
481188016	17472	C052-1	C052.11	Autoimmune thyroiditis	21983002	481188016	NA	32
208391000006113	862	C04z-1	C04z.11	Pretibial myxoedema - hypothyroid	40930008	68268011	NA	32
413721000006119	544	Cyu11	Cyu1100	[X]Other sp cified hypothyroidism	40930008	68268011	NA	32
881391000006112	80562	C04y-99	C04y.99	Acquired hypothyroidism NOS	654491000000108	881391000006112	NA	32
988831000006119	32	C04-97	C04..97	Acquired hypothyroidism NOS	111566002	988831000006119	NA	32
1823931000006116	40	EMISNQHY13	NA	Hypothyroidism confirmed	1823931000006100	1823931000006116	NA	27
2849751000006113	1675	^ESCTHA284975	NA	Hashimoto thyroiditis	21983002	36884017	NA	32
2849831000006114	844	^ESCTHA284983	NA	Hashimoto's thyroiditis	21983002	481189012	NA	32
2941751000006119	7	^ESCTHY294175	NA	Hyperthyroidism with Hashimoto disease	27538003	46083010	NA	31
3159171000006117	110	^ESCTHY315917	NA	Hypothyroid	40930008	492839019	NA	32
3588491000006118	2578	^ESCTAU358849	NA	Autoimmune thyroiditis	66944004	111194018	NA	32
3866301000006116	1	^ESCTSE386630	NA	Severe hypothyroidism	83986005	139270018	NA	31
4197341000006114	5	^ESCTPR419734	NA	Primary hypothyroidism	111566002	363808017	NA	32
4539531000006117	1	^ESCTHI453953	NA	History of hypothyroidism	161443002	2986407018	NA	32
5108351000006116	4622	^ESCTAU510835	NA	Autoimmune hypothyroidism	237519003	355966019	NA	32
5108381000006112	157	^ESCTHY510838	NA	Hypothyroidism with positive thyroid antibodies	237519003	355965015	NA	32
5108391000006110	275	^ESCTHY510839	NA	Hypothyroidism due to Hashimoto's thyroiditis	237520009	355967011	NA	31
5108401000006112	4	^ESCTHY510840	NA	Hypothyroidism due to Hashimoto thyroiditis	237520009	2840385015	NA	31
5108411000006110	3	^ESCTHY510841	NA	Hypothyroidism due to TSH receptor blocking antibody	237521008	355968018	NA	31
5108441000006114	101	^ESCTCO510844	NA	Compensated hypothyroidism	237523006	355970010	NA	31
8032121000006118	1	^ESCTHY803212	NA	Hypothyroidism due to thyroiditis	102871000119101	3013457017	NA	31
