MedCodeId	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
251614016	4161	1452	1452.00	History of anaemia vitamin B12 deficient	161457000	3009146015	NA	32
293924010	2346	D011z	D011z00	Other vitamin B12 deficiency anaemia NOS	49472006	495412014	NA	32
293948018	14431	D0130	D013000	Combined B12 and folate deficiency anaemia	191154007	293948018	NA	32
294571016	553	Dyu02	Dyu0200	[X]Other vitamin B12 deficiency anaemias	49472006	495412014	NA	32
294579019	3934	Dyu06	Dyu0600	[X]Vitamin B12 deficiency anaemia, unspecified	49472006	495414010	NA	32
351107016	17	D010-2	D010.12	Biermer's congenital pernicious anaemia	234362006	351107016	NA	32
399198011	66315	D011	D011.00	Megaloblastic anaemia due to vitamin B>12< deficiency	49472006	495412014	NA	32
505888017	815901	D010	D010.00	Pernicious anaemia	84027009	505888017	NA	32
62031000006117	993	D0111	D011100	Vitamin B12 deficiency anaemia due to malabsorption with proteinuria	191142007	293918016	NA	32
62261000006118	117557	D011-1	D011.11	Vitamin B12-deficient megaloblastic anaemia	49472006	1216683014	NA	32
62281000006111	42206	D011X	D011X00	Vitamin B>12< deficiency anaemia	49472006	495414010	NA	32
881941000006116	898	D011-99	D011.99	Other vit B12 defic. anaemia	49472006	881941000006116	NA	32
906551000006112	7568	HNG0130	NA	[RFC] Pernicious anaemia	906551000006108	906551000006112	NA	12
3300611000006113	1	^ESCTVI330061	NA	Vitamin B>12< deficiency anemia	49472006	82401016	NA	32
3866951000006118	8	^ESCTPE386695	NA	Pernicious anemia	84027009	139331010	NA	32
3875671000006118	39	^ESCTAU387567	NA	Autoimmune gastritis	84568007	506117010	NA	32
4539721000006112	2	^ESCTHI453972	NA	History of anemia vitamin B12 deficient	161457000	2987062014	NA	32
4761161000006111	16	^ESCTCO476116	NA	Combined B12 and folate deficiency anemia	191154007	293947011	NA	32
