medcodeid	Observations	OriginalReadCode	CleansedReadCode	Term	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
259307010	216103	44T	44T..00	Blood glucose method	1031451000000106	2598861000000114	NA	34
259584017	636757	44f0	44f0.00	Serum random glucose level	1028881000000105	2600091000000116	NA	34
259597015	835549	44g0	44g0.00	Plasma random glucose level	1031331000000106	2600111000000114	NA	34
502060018	414532	44TA	44TA.00	Plasma glucose	1010671000000102	2582401000000112	NA	34
109701000006110	1204136	EMISREQ|44U..	44U..00	Test request : Blood Glucose	109701000006106	109701000006110	NA	46
128091000000112	7208345	44TJ	44TJ.00	Blood glucose level	997671000000106	2563461000000115	NA	34
129841000000118	7770371	44f	44f..00	Serum glucose level	1010611000000107	2578521000000110	NA	34
134471000000110	32631797	44g	44g..00	Plasma glucose level	1010671000000102	2582401000000112	NA	34
224191000006110	131467	44U-2	44U..12	Plasma glucose level	997671000000106	2563461000000115	NA	34
517791000006115	6154153	44U	44U..00	Blood glucose result	997671000000106	2563461000000115	NA	34
518531000006111	10558	44T-1	44T..11	Blood sugar method	1031451000000106	2598861000000114	NA	34
518541000006118	153956	44U-1	44U..11	Blood sugar result	997671000000106	2563461000000115	NA	34
977341000006114	48915	4Q80	4Q80.00	Glucose level	1018851000000108	2575211000000111	NA	3
1897851000006115	10735	EMISREQ|44f0.	44f0.00	Test request : Serum random glucose level	1897851000006104	1897851000006115	NA	46
3043011000006116	62	^ESCTGL304301	NA	Glucose measurement, blood	33747003	56343019	NA	31
3043021000006112	410	^ESCTBL304302	NA	Blood sugar level	33747003	485621018	NA	31
3043041000006117	12	^ESCTBL304304	NA	Blood glucose level	33747003	128091000000112	NA	31
3080861000006112	145	^ESCTGL308086	NA	Glucose measurement	36048009	60151015	NA	3
3674501000006115	2	^ESCTGL367450	NA	Glucose measurement, plasma	72191006	119958019	NA	31
3674511000006117	52	^ESCTPL367451	NA	Plasma glucose	72191006	502060018	NA	31
8412491000006111	13	^ESCTBL841249	NA	Blood sugar method	1031451000000106	2599441000000116	NA	34
